,STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT04,WT05,WT06,WT11,Timestamp,Scale Weather
0,USC00194105,"LAWRENCE, MA US",1990-02-01,,,,0.0,,,44.0,24.0,26.0,,,,,,,,633848400.0,0.43137254901960786
1,USC00194105,"LAWRENCE, MA US",1990-02-02,,,,0.01,,,51.0,,42.0,,,,,,,,633934800.0,0.5
2,USC00194105,"LAWRENCE, MA US",1990-02-03,,,,0.51,,,46.0,22.0,24.0,,,,,,,,634021200.0,0.45098039215686275
3,USC00194105,"LAWRENCE, MA US",1990-02-04,,,,0.0,,,30.0,24.0,27.0,,,,,,,,634107600.0,0.29411764705882354
4,USC00194105,"LAWRENCE, MA US",1990-02-05,,,,0.0,,,30.0,13.0,13.0,,,,,,,,634194000.0,0.29411764705882354
5,USC00194105,"LAWRENCE, MA US",1990-02-06,,,,0.0,,,28.0,,19.0,,,,,,,,634280400.0,0.27450980392156865
6,USC00194105,"LAWRENCE, MA US",1990-02-07,,,,0.0,,,44.0,14.0,26.0,,,,,,,,634366800.0,0.43137254901960786
7,USC00194105,"LAWRENCE, MA US",1990-02-08,,,,0.0,,,47.0,22.0,23.0,,,,,,,,634453200.0,0.46078431372549017
8,USC00194105,"LAWRENCE, MA US",1990-02-09,,,,0.0,,,55.0,23.0,36.0,,,,,,,,634539600.0,0.5392156862745098
9,USC00194105,"LAWRENCE, MA US",1990-02-10,,,,0.0,,,60.0,23.0,46.0,,,,,,,,634626000.0,0.5882352941176471
10,USC00194105,"LAWRENCE, MA US",1990-02-11,,,,0.22,,,54.0,28.0,29.0,,,,,,,,634712400.0,0.5294117647058824
11,USC00194105,"LAWRENCE, MA US",1990-02-12,,,,0.0,,,42.0,24.0,26.0,,,,,,,,634798800.0,0.4117647058823529
12,USC00194105,"LAWRENCE, MA US",1990-02-13,,,,0.0,,,39.0,21.0,21.0,,,,,,,,634885200.0,0.38235294117647056
13,USC00194105,"LAWRENCE, MA US",1990-02-14,,,,0.0,,,46.0,21.0,39.0,,,,,,,,634971600.0,0.45098039215686275
14,USC00194105,"LAWRENCE, MA US",1990-02-15,,,,0.0,,,50.0,21.0,24.0,,,,,,,,635058000.0,0.49019607843137253
15,USC00194105,"LAWRENCE, MA US",1990-02-16,,,,0.9,,,32.0,21.0,22.0,,,,,,,,635144400.0,0.3137254901960784
16,USC00194105,"LAWRENCE, MA US",1990-02-17,,,,0.0,,,35.0,21.0,35.0,,,,,,,,635230800.0,0.3431372549019608
17,USC00194105,"LAWRENCE, MA US",1990-02-18,,,,0.0,,,41.0,10.0,10.0,,,,,,,,635317200.0,0.4019607843137255
18,USC00194105,"LAWRENCE, MA US",1990-02-19,,,,0.0,,,36.0,10.0,31.0,,,,,,,,635403600.0,0.35294117647058826
19,USC00194105,"LAWRENCE, MA US",1990-02-20,,,,0.0,,,51.0,21.0,22.0,,,,,,,,635490000.0,0.5
